cid,mouse_vi,smiles
3467,43.5,CNC(C)C1CCC(N)C(OC2C(N)CC(N)C(OC3OCC(C)(O)C(NC)C3O)C2O)O1
3469,374.0,O=C(O)c1cc(O)ccc1O
3485,15.4,O=CCCCC=O
3489,193.0,CC(C)(C)c1nnc(NS(=O)(=O)c2ccccc2)s1
3516,400.0,COc1ccccc1OCC(O)CO
3518,28.0,NC(N)=NCCN1CCCCCCC1
3542,94.0,CC1CNCCN1S(=O)(=O)c1cccc2cnccc12
3559,13.0,O=C(CCCN1CCC(O)(c2ccc(Cl)cc2)CC1)c1ccc(F)cc1
3604,49.0,C[N+](C)(C)CCCCCC[N+](C)(C)C
3608,133.0,CN1C(=O)NC(=O)C(C)(C2=CCCCC2)C1=O
3611,128.0,CC(C)c1cccc(O)c(=O)c1
3627,47.8,CN1CCCN(C(c2ccccc2)c2ccc(Cl)cc2)CC1
3634,70.0,CCN(CC)CCNc1ccc(CO)c2sc3ccccc3c(=O)c12
3637,52.0,NNc1nncc2ccccc12
3639,590.0,NS(=O)(=O)c1cc2c(cc1Cl)NCNS2(=O)=O
3647,750.0,NS(=O)(=O)c1cc2c(cc1C(F)(F)F)NCNS2(=O)=O
3654,27.0,N=C(N)c1ccc(C=Cc2ccc(C(=N)N)cc2O)cc1
3657,2350.0,NC(=O)NO
3658,137.0,OCCOCCN1CCN(C(c2ccccc2)c2ccc(Cl)cc2)CC1
3667,213.0,CC1(C2CCCC2)Cc2cc(OCC(=O)O)c(Cl)c(Cl)c2C1=O
3671,146.0,CC(C)C(=O)c1c(C(C)C)nn2ccccc12
3676,20.0,CCN(CC)CC(=O)Nc1c(C)cccc1C
3677,43.0,CNC(C)(C)Cc1ccccc1
3690,338.0,O=P1(NCCCl)OCCCN1CCCl
3696,21.0,CN(C)CCCN1c2ccccc2CCc2ccccc21
3698,150.0,Nc1cc(-c2ccncc2)c[nH]c1=O
3702,577.0,CC1Cc2ccccc2N1NC(=O)c1ccc(Cl)c(S(N)(=O)=O)c1
3715,30.0,COc1ccc2c(c1)c(CC(=O)O)c(C)n2C(=O)c1ccc(Cl)cc1
3720,345.0,O=C(OC1C(OC(=O)c2cccnc2)C(OC(=O)c2cccnc2)C(OC(=O)c2cccnc2)C(OC(=O)c2cccnc2)C1OC(=O)c1cccnc1)c1cccnc1
3724,30512.0,CC(=O)N(CC(O)CN(C(C)=O)c1c(I)c(C(=O)NCC(O)CO)c(I)c(C(=O)NCC(O)CO)c1I)c1c(I)c(C(=O)NCC(O)CO)c(I)c(C(=O)NCC(O)CO)c1I
3727,56.0,NC(=O)CI
3728,56.0,Oc1c(I)cc(I)c2cccnc12
3730,50000.0,CC(=O)N(CC(O)CO)c1c(I)c(C(=O)NCC(O)CO)c(I)c(C(=O)NCC(O)CO)c1I
3731,19700.0,CN(C(=O)CO)c1c(I)c(C(=O)NCC(O)CO)c(I)c(C(=O)NCC(O)CO)c1I
3735,320.0,CCC(Cc1c(I)cc(I)c(N)c1I)C(=O)O
3736,34000.0,COCC(=O)Nc1c(I)c(C(=O)NCC(O)CO)c(I)c(C(=O)N(C)CC(O)CO)c1I
3738,56000.0,CN(C(=O)CC(=O)N(C)c1c(I)c(C(=O)NC(CO)C(O)CO)c(I)c(C(=O)NC(CO)C(O)CO)c1I)c1c(I)c(C(=O)NC(CO)C(O)CO)c(I)c(C(=O)NC(CO)C(O)CO)c1I
3739,2440.0,O=C(CCCCC(=O)Nc1c(I)cc(I)c(C(=O)O)c1I)Nc1c(I)cc(I)c(C(=O)O)c1I
3740,2820.0,O=C(COCCOCCOCC(=O)Nc1c(I)cc(I)c(C(=O)O)c1I)Nc1c(I)cc(I)c(C(=O)O)c1I
3741,38372.0,O=C(NCC(O)CO)c1c(I)c(C(=O)NCC(O)CO)c(I)c(N(CCO)C(=O)CO)c1I
3742,13300.0,CNC(=O)c1c(I)c(C(=O)NCC(=O)Nc2c(I)c(C(=O)O)c(I)c(C(=O)NCCO)c2I)c(I)c(N(C)C(C)=O)c1I
3748,719.0,CC(C)NNC(=O)c1ccncc1
3767,149.0,NNC(=O)c1ccncc1
3773,2100.0,O=C(O)C1CCNCC1
3776,1509.0,CC(C)O
3779,83.0,CC(C)NCC(O)c1ccc(O)c(O)c1
3784,1.2,COC(=O)C1=C(C)NC(C)=C(C(=O)OC(C)C)C1c1cccc2nonc12
3821,77.0,CNC1(c2ccccc2Cl)CCCCC1=O
3824,580.0,CC(=O)CCC1C(=O)N(c2ccccc2)N(c2ccccc2)C1=O
3825,500.0,CC(C(=O)O)c1cccc(C(=O)c2ccccc2)c1
3828,30.6,COc1c2occc2c(OC)c2c(=O)cc(C)oc12
3869,97.5,CC(CCc1ccccc1)NCC(O)c1ccc(O)c(C(N)=O)c1
3893,131.0,CCCCCCCCCCCC(=O)O
3914,46.0,CC(C)(C)NCC(O)COc1cccc2c1CCCC2=O
3926,40.0,Cc1cccc(C)c1NC(=O)CN1CCN(CCCC(c2ccc(F)cc2)c2ccc(F)cc2)CC1
3948,246.0,CCn1cc(C(=O)O)c(=O)c2cc(F)c(N3CCNC(C)C3)c(F)c21
3960,199.0,CCCCCN(CCCCC)C(=O)C(CCC(=O)O)NC(=O)c1ccc(Cl)c(Cl)c1
3964,22.0,CN1CCN(C2=Nc3ccccc3Oc3ccc(Cl)cc32)CC1
4004,184.0,CCOC(=O)CC(SP(=S)(OC)OC)C(=O)OCC
4006,729.0,CC(C)OC(=O)C(C(=O)OC(C)C)=C1SC=CS1
4011,31.0,CNCCCC12CCC(c3ccccc31)c1ccccc12
4021,588.0,CC1=NN(c2ccccc2)C(=O)C1
4031,24.0,CCN(CCCCOC(=O)c1ccc(OC)c(OC)c1)C(C)Cc1ccc(OC)cc1
4032,11.9,CNC1(C)C2CCC(C2)C1(C)C
4033,2.0,CN(CCCl)CCCl
4041,44.0,CN1CCN=C(c2ccccc2)c2cc(Cl)ccc21
4044,96.0,Cc1cccc(Nc2ccccc2C(=O)O)c1C
4045,110.0,CCN(CC)CCNC(=O)COc1ccc(OC)cc1
4047,500.0,CN(CC1(C)CCCO1)S(=O)(=O)c1ccc(Cl)c(S(N)(=O)=O)c1
4058,34.7,CCOC(=O)C1(c2ccccc2)CCN(C)CC1
4059,175.0,Cc1ccccc1OCC(O)CO
4062,35.0,Cc1cccc(C)c1NC(=O)C1CCCCN1C
4064,230.0,CCCC(C)(COC(N)=O)COC(N)=O
4076,157.0,COc1cc(CCN)cc(OC)c1OC
4078,26.0,CN1CCCCC1CCN1c2ccccc2Sc2ccc(S(C)=O)cc21
4086,86.0,CC(C)NCC(O)c1cc(O)cc(O)c1
4095,20.0,CCC(=O)C(CC(C)N(C)C)(c1ccccc1)c1ccccc1
4098,20.0,CN(C)CCN(Cc1cccs1)c1ccccn1
4100,1000.0,CC(=O)N=c1sc(S(N)(=O)=O)nn1C
4101,17700.0,C1N2CN3CN1CN(C2)C3
4106,51.0,CSc1ccc2c(c1)C(N1CCN(C)CC1)Cc1ccccc1S2
4107,774.0,COc1ccccc1OCC(O)COC(N)=O
4116,150.0,COC(F)(F)C(Cl)Cl
4121,400.0,CN1C(CCl)Nc2cc(Cl)c(S(N)(=O)=O)cc2S1(=O)=O
4130,9.8,COP(=S)(OC)Oc1ccc([N+](=O)[O-])cc1
4158,41.0,COC(=O)C(c1ccccc1)C1CCCCN1
4162,275.0,CCC1(CC)C(=O)NCC(C)C1=O
4164,350.0,CN1c2ccccc2Sc2ccc(CC(=O)O)cc21
4165,325.0,Cc1cc2c(cc1S(N)(=O)=O)S(=O)(=O)CCC2
4167,18.0,CN1CCCC(CC2c3ccccc3Sc3ccccc32)C1
4168,33.0,CCN(CC)CCNC(=O)c1cc(Cl)c(N)cc1OC
4171,62.0,COCCc1ccc(OCC(O)CNC(C)C)cc1
4178,23.0,Cc1cccc(C)c1OCC(C)N
4189,80.0,Clc1ccc(COC(Cn2ccnc2)c2ccc(Cl)cc2Cl)c(Cl)c1
4192,50.0,Cc1ncc2n1-c1ccc(Cl)cc1C(c1ccccc1F)=NC2
4197,79.0,Cc1[nH]c(=O)c(C#N)cc1-c1ccncc1
4212,6.6000000000000005,O=C1c2c(O)ccc(O)c2C(=O)c2c(NCCNCCO)ccc(NCCNCCO)c21
4266,5.62,NCc1cc(=O)[nH]o1
4386,160.0,O=C(O)c1ccccc1Nc1ccccc1
4411,47.1,CC(C)(C)NCC(O)COc1cccc2c1CC(O)C(O)C2
4417,23.0,CCN(CC)CCOC(=O)C(Cc1cccc2ccccc12)CC1CCCO1
4421,101.0,CCn1cc(C(=O)O)c(=O)c2ccc(C)nc21
4436,170.0,c1ccc2c(CC3=NCCN3)cccc2c1
4456,0.16,CN(C)C(=O)Oc1cccc([N+](C)(C)C)c1
4461,17.0,Cn1cc(NC(=O)c2cc(NC(=O)CN=C(N)N)cn2C)cc1C(=O)NCCC(=N)N
4472,120.0,O=C(CCNNC(=O)c1ccncc1)NCc1ccccc1
4474,9.7,COC(=O)C1=C(C)NC(C)=C(C(=O)OCCN(C)Cc2ccccc2)C1c1cccc([N+](=O)[O-])c1
4477,7.5,O=C(Nc1ccc([N+](=O)[O-])cc1Cl)c1cc(Cl)ccc1O
