cid,mouse_vo,smiles
2581,186.0,CC(C(=O)O)c1ccc2c(c1)[nH]c1ccc(Cl)cc12
2583,810.0,CC(C)(C)NCC(O)COc1cccc2c1CCC(=O)N2
2682,3200.0,CCCCCCCCCCCCCCCCO
2683,200.0,CCCCCCCCCCCCCCCC[n+]1ccccc1
2707,1100.0,OC(O)C(Cl)(Cl)Cl
2708,80.0,O=C(O)CCCc1ccc(N(CCCl)CCCl)cc1
2712,200.0,CN=C1CN(O)C(c2ccccc2)=c2cc(Cl)ccc2=N1
2717,600.0,CN1C(=O)CCS(=O)(=O)C1c1ccc(Cl)cc1
2719,311.0,CCN(CC)CCCC(C)Nc1ccnc2cc(Cl)ccc12
2720,8000.0,NS(=O)(=O)c1cc2c(cc1Cl)NC=NS2(=O)=O
2723,1000.0,Cc1cc(O)cc(C)c1Cl
2724,807.0,NC(=O)OCC(O)COc1ccc(Cl)cc1
2725,121.0,CN(C)CCC(c1ccc(Cl)cc1)c1ccccn1
2726,135.0,CN(C)CCCN1c2ccccc2Sc2ccc(Cl)cc21
2727,1100.0,CCCNC(=O)NS(=O)(=O)c1ccc(Cl)cc1
2728,3650.0,CC(C)OC(=O)Nc1cccc(Cl)c1
2730,60.0,CCOP(=S)(OCC)Oc1nc(Cl)c(Cl)cc1Cl
2732,5000.0,NS(=O)(=O)c1cc(C2(O)NC(=O)c3ccccc32)ccc1Cl
2733,440.0,O=c1[nH]c2cc(Cl)ccc2o1
2734,2500.0,O=c1[nH]c2cc(Cl)c(O)cc2o1
2743,1250.0,CC(C)=CC1C(C(=O)O)C1(C)C
2754,5000.0,O=C1CCc2cc(OCCCCc3nnnn3C3CCCCC3)ccc2N1
2756,2550.0,CN=C(NC#N)NCCSCc1nc[nH]c1C
2762,2330.0,CCn1nc(C(=O)O)c(=O)c2cc3c(cc21)OCO3
2764,5000.0,O=C(O)c1cn(C2CC2)c2cc(N3CCNCC3)c(F)cc2c1=O
2787,1600.0,CCC(C)(Oc1ccc(C2(c3ccc(OC(C)(CC)C(=O)O)cc3)CCCCC2)cc1)C(=O)O
2788,69.0,Oc1c(I)cc(Cl)c2cccnc12
2789,580.0,CN1C(=O)CC(=O)N(c2ccccc2)c2cc(Cl)ccc21
2794,5000.0,CC(C)N=c1cc2n(-c3ccc(Cl)cc3)c3ccccc3nc-2cc1Nc1ccc(Cl)cc1
2795,300.0,CN(C)CCC(O)(c1ccccc1)c1ccccc1Cl
2796,1220.0,CCOC(=O)C(C)(C)Oc1ccc(Cl)cc1
2797,1170.0,CC(C)(Oc1ccc(Cl)cc1)C(=O)O
2800,1700.0,CCN(CC)CCOc1ccc(C(=C(Cl)c2ccccc2)c2ccccc2)cc1
2801,380.0,CN(C)CCCN1c2ccccc2CCc2ccc(Cl)cc21
2802,2000.0,O=C1CN=C(c2ccccc2Cl)c2cc([N+](=O)[O-])ccc2N1
2803,108.0,Clc1cccc(Cl)c1NC1=NCCN1
2811,636.0,CCc1cc2c(s1)N(C)C(=O)CN=C2c1ccccc1Cl
2812,761.0,Clc1ccccc1C(c1ccccc1)(c1ccccc1)n1ccnc1
2816,2630.0,O=C1CN2CCOC2(c2ccccc2Cl)c2cc(Cl)ccc2N1
2827,221.0,CC(C)=CCc1ccc2[nH]cc(C3=C(O)C(=O)C(c4c[nH]c5ccc(CC=C(C)C)cc45)=C(O)C3=O)c2c1
2871,28.0,CCOP(=S)(OCC)Oc1ccc2c(C)c(Cl)c(=O)oc2c1
2879,344.0,Cc1ccc(O)cc1
2893,10000.0,CC1CC(OC(=O)C(O)c2ccccc2)CC(C)(C)C1
2895,250.0,CN(C)CCC=C1c2ccccc2C=Cc2ccccc21
2898,12500.0,CC(=O)Oc1ccc(C(=C2CCCCC2)c2ccc(OC(C)=O)cc2)cc1
2901,309.0,NC1(C(=O)O)CCCC1
2904,1000.0,NS(=O)(=O)c1cc2c(cc1Cl)NC(CC1CCCC1)NS2(=O)=O
2907,137.0,O=P1(N(CCCl)CCCl)NCCCO1
2910,5000.0,NS(=O)(=O)c1cc2c(cc1Cl)NC(C1CC3C=CC1C3)NS2(=O)=O
2912,24.57,CC1(C)C(C=C(Cl)Cl)C1C(=O)OC(C#N)c1cccc(Oc2ccccc2)c1
2913,106.0,CN1CCC(=C2c3ccccc3C=Cc3ccccc32)CC1
2950,7000.0,O=C1c2cccc(O)c2C(=O)c2c(O)cccc21
2955,250.0,Nc1ccc(S(=O)(=O)c2ccc(N)cc2)cc1
2973,1340.0,CC(=O)N(O)CCCCCNC(=O)CCC(=O)N(O)CCCCCNC(=O)CCC(=O)N(O)CCCCCN
2984,1000.0,CCCCn1c(=O)c2c(ncn2CC(C)=O)n(CCCC)c1=O
2995,448.0,CNCCCN1c2ccccc2CCc2ccccc21
2997,670.0,O=C1CN=C(c2ccccc2)c2cc(Cl)ccc2N1
3007,21.0,CC(N)Cc1ccccc1
3016,48.0,CN1C(=O)CN=C(c2ccccc2)c2cc(Cl)ccc21
3017,17.0,CCOP(=S)(OCC)Oc1cc(C)nc(C(C)C)n1
3019,444.0,CC1=NS(=O)(=O)c2cc(Cl)ccc2N1
3023,470.0,c1ccc2c(c1)sc1ccccc12
3026,3474.0,CCCCOC(=O)c1ccccc1C(=O)OCCCC
3030,1190.0,COc1c(Cl)ccc(Cl)c1C(=O)O
3031,2056.0,N#Cc1c(Cl)cccc1Cl
3033,170.0,O=C(O)Cc1ccccc1Nc1c(Cl)cccc1Cl
3035,700.0,ClC(Cl)=C(c1ccc(Cl)cc1)c1ccc(Cl)cc1
3036,135.0,Clc1ccc(C(c2ccc(Cl)cc2)C(Cl)(Cl)Cl)cc1
3037,1000.0,Oc1ccc(Cl)cc1Cc1cc(Cl)ccc1O
3038,1710.0,NS(=O)(=O)c1cc(Cl)c(Cl)c(S(N)(=O)=O)c1
3039,61.0,COP(=O)(OC)OC=C(Cl)Cl
3051,1558.0,CCOC(=O)OC(=O)OCC
3055,450.0,OC(CCCN1CCCCC1)(c1ccccc1)c1ccccc1
3059,439.0,O=C(O)c1cc(-c2ccc(F)cc2F)ccc1O
3073,1041.0,CC(C)OP(C)(=O)OC(C)C
3074,3740.0,COc1cc(C(=O)OCCCN2CCCN(CCCOC(=O)c3cc(OC)c(OC)c(OC)c3)CC2)cc(OC)c1OC
3078,12.0,COc1ccc2c(=O)c(C)c(-c3ccccc3)oc2c1CN(C)C
3080,217.0,OCC(S)CS
3082,60.0,CNC(=O)CSP(=S)(OC)OC
3086,589.0,COC(=O)OC(=O)OC
