cid,rat_vi,smiles
3741,21200.0,O=C(NCC(O)CO)c1c(I)c(C(=O)NCC(O)CO)c(I)c(N(CCO)C(=O)CO)c1I
3742,13300.0,CNC(=O)c1c(I)c(C(=O)NCC(=O)Nc2c(I)c(C(=O)O)c(I)c(C(=O)NCCO)c2I)c(I)c(N(C)C(C)=O)c1I
3767,365.0,NNC(=O)c1ccncc1
3776,1088.0,CC(C)O
3779,57.0,CC(C)NCC(O)c1ccc(O)c(O)c1
3784,1.8,COC(=O)C1=C(C)NC(C)=C(C(=O)OC(C)C)C1c1cccc2nonc12
3824,315.0,CC(=O)CCC1C(=O)N(c2ccccc2)N(c2ccccc2)C1=O
3825,350.0,CC(C(=O)O)c1cccc(C(=O)c2ccccc2)c1
3828,34.4,COc1c2occc2c(OC)c2c(=O)cc(C)oc12
3869,50.0,CC(CCc1ccccc1)NCC(O)c1ccc(O)c(C(N)=O)c1
3917,8.0,CC(N)C(O)c1ccc(O)c(O)c1
3955,5.1000000000000005,CN(C)C(=O)C(CCN1CCC(O)(c2ccc(Cl)cc2)CC1)(c1ccccc1)c1ccccc1
3964,18.0,CN1CCN(C2=Nc3ccccc3Oc3ccc(Cl)cc32)CC1
4004,50.0,CCOC(=O)CC(SP(=S)(OC)OC)C(=O)OCC
4011,38.0,CNCCCC12CCC(c3ccccc31)c1ccccc12
4021,631.0,CC1=NN(c2ccccc2)C(=O)C1
4033,1.1,CN(CCCl)CCCl
4041,92.0,CN1CCN=C(c2ccccc2)c2cc(Cl)ccc21
4044,112.0,Cc1cccc(Nc2ccccc2C(=O)O)c1C
4047,500.0,CN(CC1(C)CCCO1)S(=O)(=O)c1ccc(Cl)c(S(N)(=O)=O)c1
4053,25.0,NC(Cc1ccc(N(CCCl)CCCl)cc1)C(=O)O
4058,22.5,CCOC(=O)C1(c2ccccc2)CCN(C)CC1
4059,133.0,Cc1ccccc1OCC(O)CO
4062,30.0,Cc1cccc(C)c1NC(=O)C1CCCCN1C
4064,350.0,CCCC(C)(COC(N)=O)COC(N)=O
4076,157.0,COc1cc(CCN)cc(OC)c1OC
4086,67.2,CC(C)NCC(O)c1cc(O)cc(O)c1
4095,11.0,CCC(=O)C(CC(C)N(C)C)(c1ccccc1)c1ccccc1
4096,10.0,COP(N)(=O)SC
4101,9200.0,C1N2CN3CN1CN(C2)C3
4130,9.0,COP(=S)(OC)Oc1ccc([N+](=O)[O-])cc1
4156,175.0,COS(C)(=O)=O
4158,48.0,COC(=O)C(c1ccccc1)C1CCCCN1
4162,380.0,CCC1(CC)C(=O)NCC(C)C1=O
4165,445.0,Cc1cc2c(cc1S(N)(=O)=O)S(=O)(=O)CCC2
4168,50.0,CCN(CC)CCNC(=O)c1cc(Cl)c(N)cc1OC
4171,71.9,COCCc1ccc(OCC(O)CNC(C)C)cc1
4178,41.0,Cc1cccc(C)c1OCC(C)N
4189,105.0,Clc1ccc(COC(Cn2ccnc2)c2ccc(Cl)cc2Cl)c(Cl)c1
4192,75.0,Cc1ncc2n1-c1ccc(Cl)cc1C(c1ccccc1F)=NC2
4197,73.0,Cc1[nH]c(=O)c(C#N)cc1-c1ccncc1
4266,4.5,NCc1cc(=O)[nH]o1
4411,59.2,CC(C)(C)NCC(O)COc1cccc2c1CC(O)C(O)C2
4421,1160.0,CCn1cc(C(=O)O)c(=O)c2ccc(C)nc21
4456,0.225,CN(C)C(=O)Oc1cccc([N+](C)(C)C)c1
4474,11.8,COC(=O)C1=C(C)NC(C)=C(C(=O)OCCN(C)Cc2ccccc2)C1c1cccc([N+](=O)[O-])c1
4485,6.0,COC(=O)C1=C(C)NC(C)=C(C(=O)OC)C1c1ccccc1[N+](=O)[O-]
4494,9.65,COC(=O)C1=C(C#N)NC(C)=C(C(=O)OC(C)C)C1c1cccc([N+](=O)[O-])c1
4497,5.0,COCCOC(=O)C1=C(C)NC(C)=C(C(=O)OC(C)C)C1c1cccc([N+](=O)[O-])c1
4499,1.12,COC(=O)C1=C(C)NC(C)=C(C(=O)OCC(C)C)C1c1ccccc1[N+](=O)[O-]
4507,12.6,CCOC(=O)C1=C(C)NC(C)=C(C(=O)OC)C1c1cccc([N+](=O)[O-])c1
4510,23.2,O=[N+]([O-])OCC(CO[N+](=O)[O-])O[N+](=O)[O-]
4513,301.0,CNC(=C[N+](=O)[O-])NCCSCc1csc(CN(C)C)n1
4538,17.400000000000002,NCC(O)c1cccc(O)c1
4539,245.0,CCn1cc(C(=O)O)c(=O)c2cc(F)c(N3CCNCC3)cc21
4543,22.0,CNCCC=C1c2ccccc2CCc2ccccc21
4583,273.0,CC1COc2c(N3CCN(C)CC3)c(F)cc3c(=O)c(C(=O)O)cn1c23
4594,50.0,COc1ccc2nc(S(=O)Cc3ncc(C)c(OC)c3C)[nH]c2c1
4614,82.0,O=C(O)CCc1nc(-c2ccccc2)c(-c2ccccc2)o1
4615,29.0,O=c1[nH]c2ccccc2n1CCCN1CCN(C(c2ccccc2)c2ccccc2)CC1
4618,47.0,CCS(=O)CCSP(=O)(OC)OC
4626,10000.0,NC(=O)CN1CC(O)CC1=O
4630,1.22,O=C1CCCN1CC#CCN1CCCC1
4641,68.0,CCCCC1C(=O)N(c2ccccc2)N(c2ccc(O)cc2)C1=O
4650,25.0,O=C1C=CC(=O)C=C1
4680,13.3,COc1ccc(Cc2nccc3cc(OC)c(OC)cc23)cc1OC
4696,8.57,O=C1C=C2C(=CCOC2O)O1
4740,231.0,CC(=O)CCCCn1c(=O)c2c(ncn2C)n(C)c1=O
4744,80.0,CN1CCN(CCCN2c3ccccc3Sc3ccccc32)CC1
4747,35.0,N#Cc1ccc2c(c1)N(CCCN1CCC(O)CC1)c1ccccc1S2
4748,34.0,OCCN1CCN(CCCN2c3ccccc3Sc3ccc(Cl)cc32)CC1
4763,209.0,CCC1(c2ccccc2)C(=O)NC(=O)NC1=O
4766,752.0,O=S1(=O)OC(c2ccc(O)cc2)(c2ccc(O)cc2)c2ccccc21
4767,354.0,CC(C)=CC1C(C(=O)OCc2cccc(Oc3ccccc3)c2)C1(C)C
4781,100.0,CCCCC1C(=O)N(c2ccccc2)N(c2ccccc2)C1=O
4790,1.2,CCOP(=S)(OCC)SCSCC
4820,18.0,Cc1cccc(C)c1NC(=O)CC12CCCN1CCC2
4822,13.0,CN1CCC(=C2c3ccccc3Sc3ccccc32)CC1
4823,72.0,COc1ccc(-c2nc3ccc(C4=NNC(=O)CC4C)cc3[nH]2)cc1
4826,155.0,CC(N=C(NC#N)Nc1ccncc1)C(C)(C)C
4828,51.0,CC(C)NCC(O)COc1cccc2[nH]ccc12
