cid,rat_vo,smiles
2816,1780.0,O=C1CN2CCOC2(c2ccccc2Cl)c2cc(Cl)ccc2N1
2871,13.0,CCOP(=S)(OCC)Oc1ccc2c(C)c(Cl)c(=O)oc2c1
2879,207.0,Cc1ccc(O)cc1
2882,2150.0,O=C(O)c1cc(=O)c2c(OCC(O)COc3cccc4oc(C(=O)O)cc(=O)c34)cccc2o1
2893,5000.0,CC1CC(OC(=O)C(O)c2ccccc2)CC(C)(C)C1
2898,12000.0,CC(=O)Oc1ccc(C(=C2CCCCC2)c2ccc(OC(C)=O)cc2)cc1
2901,290.0,NC1(C(=O)O)CCCC1
2904,1000.0,NS(=O)(=O)c1cc2c(cc1Cl)NC(CC1CCCC1)NS2(=O)=O
2907,100.0,O=P1(N(CCCl)CCCl)NCCCO1
2910,5000.0,NS(=O)(=O)c1cc2c(cc1Cl)NC(C1CC3C=CC1C3)NS2(=O)=O
2912,57.5,CC1(C)C(C=C(Cl)Cl)C1C(=O)OC(C#N)c1cccc(Oc2ccccc2)c1
2913,295.0,CN1CCC(=C2c3ccccc3C=Cc3ccccc32)CC1
2943,3000.0,COC(=O)c1c(Cl)c(Cl)c(C(=O)OC)c(Cl)c1Cl
2955,1000.0,Nc1ccc(S(=O)(=O)c2ccc(N)cc2)cc1
2969,10000.0,CCCCCCCCCC(=O)O
2972,2000.0,Cc1c(O)c(=O)ccn1C
2982,80.0,CC1(C)C(C=C(Br)Br)C1C(=O)OC(C#N)c1cccc(Oc2ccccc2)c1
2995,375.0,CNCCCN1c2ccccc2CCc2ccccc21
3007,30.0,CC(N)Cc1ccccc1
3016,249.0,CN1C(=O)CN=C(c2ccccc2)c2cc(Cl)ccc21
3017,66.0,CCOP(=S)(OCC)Oc1cc(C)nc(C(C)C)n1
3019,980.0,CC1=NS(=O)(=O)c2cc(Cl)ccc2N1
3024,108.0,BrCBr
3026,7499.0,CCCCOC(=O)c1ccccc1C(=O)OCCCC
3030,1039.0,COc1c(Cl)ccc(Cl)c1C(=O)O
3031,2710.0,N#Cc1c(Cl)cccc1Cl
3033,62.5,O=C(O)Cc1ccccc1Nc1c(Cl)cccc1Cl
3035,880.0,ClC(Cl)=C(c1ccc(Cl)cc1)c1ccc(Cl)cc1
3036,87.0,Clc1ccc(C(c2ccc(Cl)cc2)C(Cl)(Cl)Cl)cc1
3037,1506.0,Oc1ccc(Cl)cc1Cc1cc(Cl)ccc1O
3038,10070.0,NS(=O)(=O)c1cc(Cl)c(Cl)c(S(N)(=O)=O)c1
3039,17.0,COP(=O)(OC)OC=C(Cl)Cl
3051,850.0,CCOC(=O)OC(=O)OCC
3055,815.0,OC(CCCN1CCCCC1)(c1ccccc1)c1ccccc1
3059,392.0,O=C(O)c1cc(-c2ccc(F)cc2F)ccc1O
3073,826.0,CC(C)OP(C)(=O)OC(C)C
3078,40.0,COc1ccc2c(=O)c(C)c(-c3ccccc3)oc2c1CN(C)C
3082,60.0,CNC(=O)CSP(=S)(OC)OC
3086,260.0,COC(=O)OC(=O)OC
3091,270.0,CCCCN(CCN(CCCC)C(=O)N1CCOCC1)C(=O)N1CCOCC1
3092,600.0,Cc1c(C(N)=O)cc([N+](=O)[O-])cc1[N+](=O)[O-]
